,Dataset,Number of Keypoints,Detector/Descriptor
363,Gravel_Pit,92.5308056872038,AKAZE
364,Gravel_Pit,105.36018957345972,AKAZE
365,Gravel_Pit,98.37914691943128,AKAZE
366,Gravel_Pit,72.86255924170617,AKAZE
367,Gravel_Pit,51.58767772511848,AKAZE
368,Gravel_Pit,47.18483412322275,AKAZE
369,Gravel_Pit,50.62559241706161,AKAZE
370,Gravel_Pit,48.312796208530806,AKAZE
371,Gravel_Pit,31.72037914691943,AKAZE
372,Gravel_Pit,32.85308056872038,AKAZE
373,Gravel_Pit,38.170616113744074,AKAZE
374,Gravel_Pit,44.90521327014218,AKAZE
375,Gravel_Pit,64.91943127962085,AKAZE
376,Gravel_Pit,59.639810426540286,AKAZE
377,Gravel_Pit,69.17535545023696,AKAZE
378,Gravel_Pit,65.64928909952607,AKAZE
379,Gravel_Pit,47.52132701421801,AKAZE
380,Gravel_Pit,42.77725118483412,AKAZE
381,Gravel_Pit,36.14218009478673,AKAZE
382,Gravel_Pit,64.85308056872037,AKAZE
383,Gravel_Pit,76.27488151658768,AKAZE
384,Gravel_Pit,78.77725118483413,AKAZE
385,Gravel_Pit,81.55924170616113,AKAZE
386,Gravel_Pit,79.15165876777252,AKAZE
387,Gravel_Pit,62.0,AKAZE
388,Gravel_Pit,47.43127962085308,AKAZE
389,Gravel_Pit,50.241706161137444,AKAZE
390,Gravel_Pit,43.07109004739336,AKAZE
391,Gravel_Pit,40.11374407582938,AKAZE
392,Gravel_Pit,33.69668246445497,AKAZE
393,Gravel_Pit,38.132701421800945,AKAZE
394,Gravel_Pit,43.74881516587678,AKAZE
395,Gravel_Pit,60.92890995260664,AKAZE
396,Gravel_Pit,68.39810426540285,AKAZE
397,Gravel_Pit,59.161137440758296,AKAZE
398,Gravel_Pit,49.725118483412324,AKAZE
399,Gravel_Pit,42.09478672985782,AKAZE
400,Gravel_Pit,38.312796208530806,AKAZE
401,Gravel_Pit,43.77725118483412,AKAZE
402,Gravel_Pit,54.018957345971565,AKAZE
403,Gravel_Pit,63.62085308056872,AKAZE
404,Gravel_Pit,59.29383886255924,AKAZE
405,Gravel_Pit,68.36492890995261,AKAZE
406,Gravel_Pit,77.85781990521328,AKAZE
407,Gravel_Pit,70.69668246445498,AKAZE
408,Gravel_Pit,63.308056872037916,AKAZE
409,Gravel_Pit,74.38388625592417,AKAZE
410,Gravel_Pit,78.43601895734596,AKAZE
411,Gravel_Pit,75.38862559241706,AKAZE
412,Gravel_Pit,70.68720379146919,AKAZE
413,Gravel_Pit,67.92417061611374,AKAZE
414,Gravel_Pit,67.10426540284361,AKAZE
415,Gravel_Pit,66.19905213270142,AKAZE
416,Gravel_Pit,49.274881516587676,AKAZE
417,Gravel_Pit,49.03791469194313,AKAZE
418,Gravel_Pit,47.59241706161137,AKAZE
419,Gravel_Pit,48.23696682464455,AKAZE
420,Gravel_Pit,53.07582938388626,AKAZE
421,Gravel_Pit,53.165876777251185,AKAZE
422,Gravel_Pit,118.72037914691943,BRISK
423,Gravel_Pit,90.91469194312796,BRISK
424,Gravel_Pit,66.13744075829383,BRISK
425,Gravel_Pit,90.86729857819905,BRISK
426,Gravel_Pit,110.0,BRISK
427,Gravel_Pit,116.44075829383887,BRISK
428,Gravel_Pit,98.8388625592417,BRISK
429,Gravel_Pit,86.71563981042654,BRISK
430,Gravel_Pit,114.24170616113744,BRISK
431,Gravel_Pit,125.99526066350711,BRISK
432,Gravel_Pit,183.55924170616115,BRISK
433,Gravel_Pit,99.22748815165876,BRISK
434,Gravel_Pit,79.72037914691943,BRISK
435,Gravel_Pit,77.5781990521327,BRISK
436,Gravel_Pit,77.85781990521328,BRISK
437,Gravel_Pit,78.71090047393365,BRISK
438,Gravel_Pit,73.47867298578198,BRISK
439,Gravel_Pit,63.58293838862559,BRISK
440,Gravel_Pit,90.4691943127962,BRISK
441,Gravel_Pit,86.92890995260663,BRISK
442,Gravel_Pit,71.4739336492891,BRISK
443,Gravel_Pit,95.98104265402844,BRISK
444,Gravel_Pit,127.75829383886256,BRISK
445,Gravel_Pit,88.96682464454976,BRISK
446,Gravel_Pit,76.93838862559242,BRISK
447,Gravel_Pit,116.77251184834124,BRISK
448,Gravel_Pit,109.29383886255924,BRISK
449,Gravel_Pit,143.260663507109,BRISK
450,Gravel_Pit,78.02369668246446,BRISK
451,Gravel_Pit,151.0521327014218,BRISK
452,Gravel_Pit,118.61611374407583,BRISK
453,Gravel_Pit,98.51658767772511,BRISK
454,Gravel_Pit,117.03791469194313,BRISK
455,Gravel_Pit,76.06161137440758,BRISK
456,Gravel_Pit,92.06161137440758,BRISK
457,Gravel_Pit,87.5308056872038,BRISK
458,Gravel_Pit,80.77251184834124,BRISK
459,Gravel_Pit,32.97156398104266,BRISK
460,Gravel_Pit,67.96682464454976,BRISK
461,Gravel_Pit,87.04739336492891,BRISK
462,Gravel_Pit,79.88151658767772,BRISK
463,Gravel_Pit,69.76777251184834,BRISK
464,Gravel_Pit,89.24170616113744,BRISK
465,Gravel_Pit,43.44549763033175,BRISK
466,Gravel_Pit,87.14218009478672,BRISK
467,Gravel_Pit,63.11374407582938,BRISK
468,Gravel_Pit,94.67772511848341,BRISK
469,Gravel_Pit,46.03791469194313,BRISK
470,Gravel_Pit,76.35071090047393,BRISK
471,Gravel_Pit,158.82464454976304,BRISK
472,Gravel_Pit,185.15165876777252,BRISK
473,Gravel_Pit,226.01421800947867,BRISK
474,Gravel_Pit,189.80568720379148,BRISK
475,Gravel_Pit,113.93364928909952,BRISK
476,Gravel_Pit,75.68720379146919,BRISK
477,Gravel_Pit,38.872037914691944,BRISK
478,Gravel_Pit,29.94312796208531,BRISK
479,Gravel_Pit,19.061611374407583,BRISK
480,Gravel_Pit,52.312796208530806,BRISK
481,Gravel_Pit,62.71090047393365,BRISK
482,Gravel_Pit,98.82938388625593,BRISK
483,Gravel_Pit,104.24170616113744,BRISK
484,Gravel_Pit,135.01421800947867,BRISK
485,Gravel_Pit,103.5260663507109,BRISK
486,Gravel_Pit,100.78199052132702,BRISK
487,Gravel_Pit,63.843601895734594,BRISK
488,Gravel_Pit,39.11374407582938,BRISK
489,Gravel_Pit,22.71563981042654,BRISK
490,Gravel_Pit,23.649289099526065,BRISK
491,Gravel_Pit,51.58293838862559,BRISK
492,Gravel_Pit,104.85781990521328,BRISK
493,Gravel_Pit,131.81042654028437,BRISK
494,Gravel_Pit,192.781990521327,BRISK
495,Gravel_Pit,184.81990521327015,BRISK
496,Gravel_Pit,89.61611374407583,BRISK
497,Gravel_Pit,137.43601895734596,BRISK
498,Gravel_Pit,111.64454976303317,BRISK
499,Gravel_Pit,83.63981042654028,BRISK
500,Gravel_Pit,31.0,BRISK
501,Gravel_Pit,61.44549763033175,BRISK
